('https://www.youtube.com/watch?v=IoMby17t7cE', '181268300301336576')
('https://www.youtube.com/watch?v=yJTi33SfhRs', '181268300301336576')
('https://www.youtube.com/watch?v=UcHJtgljXEo', '181268300301336576')
('https://www.youtube.com/watch?v=6fmOP5yfTXk', '181268300301336576')
('https://www.youtube.com/watch?v=8OqHjfS_vpA', '181268300301336576')
('https://www.youtube.com/watch?v=Jm5DjptGtJo', '181268300301336576')
('https://www.youtube.com/watch?v=VQRqylWKaw4', '151538542915354624')
('https://soundcloud.com/haku-199196955/rain-by-sid-fullmetal-alchemist-op', '127159254611263489')
('https://soundcloud.com/haku-199196955/uso-by-sid-fullmetal-alchemist-ed', '127159254611263489')
('https://www.youtube.com/watch?v=lwnoSeiAFSY', '136665080820400128')
('https://www.youtube.com/watch?v=fS9f6_i6v3Q', '136665080820400128')
('https://www.youtube.com/watch?v=w8KQmps-Sog&list=PL_bb-PXLflw9xb96FBTxTln3mYWRkNqlQ&index=6', '136665080820400128')
('https://www.youtube.com/watch?v=kvDMlk3kSYg&index=8&list=PL_bb-PXLflw9xb96FBTxTln3mYWRkNqlQ', '136665080820400128')
('https://www.youtube.com/watch?v=yKOlBZJ7Izs&index=12&list=PL_bb-PXLflw9xb96FBTxTln3mYWRkNqlQ', '136665080820400128')
('https://www.youtube.com/watch?v=mfOWz_RJBz8&list=PL_bb-PXLflw9xb96FBTxTln3mYWRkNqlQ&index=13', '136665080820400128')
('https://www.youtube.com/watch?v=-uInmFU6JkU&list=PL_bb-PXLflw9xb96FBTxTln3mYWRkNqlQ&index=18', '136665080820400128')
('https://www.youtube.com/watch?v=Ej8or-DfrIY&index=19&list=PL_bb-PXLflw9xb96FBTxTln3mYWRkNqlQ', '136665080820400128')
('https://www.youtube.com/watch?v=S_JUlXh7sP8&list=PL_bb-PXLflw9xb96FBTxTln3mYWRkNqlQ&index=20', '136665080820400128')
('https://www.youtube.com/watch?v=GArQ-SpNtI8&list=PL_bb-PXLflw9xb96FBTxTln3mYWRkNqlQ&index=22', '136665080820400128')
('https://www.youtube.com/watch?v=3YcoS_eLOS4&index=23&list=PL_bb-PXLflw9xb96FBTxTln3mYWRkNqlQ', '136665080820400128')
('https://www.youtube.com/watch?v=gnYvZkjn9Ic&list=PL_bb-PXLflw9xb96FBTxTln3mYWRkNqlQ&index=24', '136665080820400128')
('https://www.youtube.com/watch?v=89Fa9F6ACD4&index=25&list=PL_bb-PXLflw9xb96FBTxTln3mYWRkNqlQ', '136665080820400128')
('https://www.youtube.com/watch?v=KJjt6lsS_e4&index=26&list=PL_bb-PXLflw9xb96FBTxTln3mYWRkNqlQ', '136665080820400128')
('https://www.youtube.com/watch?v=C7xjJm8bUEA&index=29&list=PL_bb-PXLflw9xb96FBTxTln3mYWRkNqlQ', '136665080820400128')
('https://www.youtube.com/watch?v=rMBttyiRidY&index=31&list=PL_bb-PXLflw9xb96FBTxTln3mYWRkNqlQ', '136665080820400128')
