 --- https://soundcloud.com/epicish/conceited-fool/s-MSlVm, Playcount: 0
 --- https://soundcloud.com/peridarren/april-sweatpants, Playcount: 0
03.  Fly Away --- https://www.youtube.com/watch?v=ejTgl3cCyDo, Playcount: 0
06 Linkin Park - Easier To Run --- https://www.youtube.com/watch?v=W3RiDJ8_3Lo, Playcount: 0
08 Linkin Park - Figure 09 --- https://www.youtube.com/watch?v=WnU4mFonxoo, Playcount: 0
08- Panty & Stocking with Garterbelt OST - D. City Rock! --- https://www.youtube.com/watch?v=kTvewPtk7sg, Playcount: 0
3OH!3 I Cant Do It Alone Lyrics --- https://www.youtube.com/watch?v=M8XL9mTKsYM, Playcount: 0
3OH!3- Choke Chain lyrics --- https://www.youtube.com/watch?v=DPm8rBtGQCY, Playcount: 0
3OH!3- Dont Trust Me lyrics --- https://www.youtube.com/watch?v=GSjlxbxAymM, Playcount: 0
3OH!3- Im Not Your Boyfriend Baby lyrics --- https://www.youtube.com/watch?v=utrAA4X7MD8, Playcount: 0
3OH!3- Rich Man lyrics --- https://www.youtube.com/watch?v=cCXdBLbp7gM, Playcount: 0
703 Easy Street by The Collapsable Hearts Club ft. Jim Biano & Petra Haden --- https://www.youtube.com/watch?v=JoQ4GidQP-k, Playcount: 0
A Day To Remember - All Signs Point to Lauderdale --- https://www.youtube.com/watch?v=08PszRp2cBg, Playcount: 0
A Day To Remember - City of Ocala [OFFICIAL VIDEO] --- https://www.youtube.com/watch?v=hJnbZzUEpvs, Playcount: 1
A Day To Remember - I Remember Audio --- https://www.youtube.com/watch?v=yaMIJg2FEB4, Playcount: 0
A Day To Remember - If it means a lot to you LYRICS --- https://www.youtube.com/watch?v=21YJcWdiNfI, Playcount: 0
A Day To Remember - Im Already Gone --- https://www.youtube.com/watch?v=egukdbH2olk, Playcount: 0
A Day To Remember - Im Made Of Wax, Larry, What Are You Made Of? OFFICIAL VIDEO --- https://www.youtube.com/watch?v=jr9RpR9n6h8, Playcount: 0
A Day To Remember - Paranoia OFFICIAL VIDEO --- https://www.youtube.com/watch?v=fUOVQ4KsX9U, Playcount: 0
A Day To Remember - The Downfall of Us All --- https://www.youtube.com/watch?v=CN4IIgFz93k, Playcount: 0
A Day To Remember - Welcome To The Family HQ + Lyrics --- https://www.youtube.com/watch?v=CO6h2_CBLPE, Playcount: 0
A Light That Never Comes - Linkin Park --- https://www.youtube.com/watch?v=RUhRmT2SYsg&list=PLq4-c0jjwd2Ri5u5Pw4tcRtiTUR2MTEr4, Playcount: 0
A Whole New World --- https://www.youtube.com/watch?v=-kl4hJ4j48s, Playcount: 0
Agony | Into the woods 2014 | Chris Pine & Billy Magnussen --- https://www.youtube.com/watch?v=YmixlJ79ZF0, Playcount: 0
Akon - Right Now Na Na Na --- https://www.youtube.com/watch?v=vIaH35-MLsk, Playcount: 0
Akon - Right Now Na Na Na Spectra Remix Tropical House --- https://www.youtube.com/watch?v=luSHpiqa-f0, Playcount: 0
Akon I Tried so Hard --- https://www.youtube.com/watch?v=NBDpZbKTiOQ, Playcount: 0
Alan Walker - Faded --- https://www.youtube.com/watch?v=60ItHLz5WEA&list=WL&index=36, Playcount: 0
Aleks Syntek - Te Soñe --- https://www.youtube.com/watch?v=uoX_3HE8ScI, Playcount: 1
Alice | Pogo --- https://www.youtube.com/watch?v=pAwR6w2TgxY, Playcount: 0
Alicia Keys - Fallin --- https://www.youtube.com/watch?v=Urdlvw0SSEc, Playcount: 0
All I Ask of You - 2004 Film | The Phantom of the Opera --- https://www.youtube.com/watch?v=Zy1lWiHHHFY, Playcount: 0
All I Want For Christmas Is You - My Chemical Romance --- https://www.youtube.com/watch?v=u8rjrPIGZ5U, Playcount: 0
All my Exs live in Texas- George Strait --- https://www.youtube.com/watch?v=Jk7uXaNuWNE, Playcount: 0
All That Remains - Not Alone --- https://www.youtube.com/watch?v=mS0ZJsDC76w, Playcount: 0
All That Remains - The Air That I Breathe --- https://www.youtube.com/watch?v=IetyQQgJOFM, Playcount: 0
All Time Low - Dear Maria, Count Me In Official Music Video --- https://www.youtube.com/watch?v=GcNiKCmWdYE, Playcount: 0
All Time Low - Stella --- https://www.youtube.com/watch?v=5gur6sKEGtg, Playcount: 0
All Time Low - Umbrella Rihanna Cover --- https://www.youtube.com/watch?v=dVEZzUpRPZo, Playcount: 0
All Time Low - Weightless Official Music Video --- https://www.youtube.com/watch?v=TpG3BxRctQ4, Playcount: 0
All Time Low By Jon Bellion Lyrics --- https://www.youtube.com/watch?v=jsEfQ8k39eU, Playcount: 0
Apocalyptica - I Dont Care ft. Adam Gontier --- https://www.youtube.com/watch?v=qxDcWvZCSRg, Playcount: 0
ARK Survival Evolved - Main Theme Music --- https://www.youtube.com/watch?v=FDqXO7XOw7c, Playcount: 0
As Blood Runs Black In Dying Days --- https://www.youtube.com/watch?v=sdU_pT0KXSI, Playcount: 0
As Blood Runs Black My Fears Have Become Phobias --- https://www.youtube.com/watch?v=tqll3l_2ykI, Playcount: 2
ASKING ALEXANDRIA - A Prophecy  Official Music Video --- https://www.youtube.com/watch?v=tQblSS2kl4Q, Playcount: 0
ASKING ALEXANDRIA - I Wont Give In Official Music Video --- https://www.youtube.com/watch?v=VX0Bu_klgvo, Playcount: 2
Asking Alexandria - Right Now Na Na Na - Akon cover --- https://www.youtube.com/watch?v=kFRC6r-BBag, Playcount: 0
