1 - Merry Christmas Mr. Lawrence Ryuichi Sakamoto - Merry Christmas Mr. Lawrence OST --- http://soundcloud.com/milanrecords/1-merry-christmas-mr-lawrence-ryuichi-sakamoto-merry-christmas-mr-lawrence-ost, Playcount: 6
[MV] HIGH4, IU(하이포, 아이유) _ Not Spring, Love, or Cherry Blossoms(봄,사랑,벚꽃 말고) --- https://www.youtube.com/watch?v=ouR4nn1G9r4, Playcount: 0
[MV] IU(아이유) _ Friday(금요일에 만나요) (Feat. Jang Yi-jeong(장이정) of HISTORY(히스토리)) --- https://www.youtube.com/watch?v=EiVmQZwJhsA, Playcount: 0
[MV] Lee Sun Hee(이선희) _ Meet him among them(그 중에 그대를 만나) --- https://www.youtube.com/watch?v=IAyMtl9FRHI, Playcount: 0
[STATION] BoA 보아_봄비 (Spring Rain)_Music Video --- https://www.youtube.com/watch?v=gBwlHygTjKY, Playcount: 0
Adam lambert - What Do You Want From Me +Lyrics --- https://www.youtube.com/watch?v=7wQzmIK-GfU, Playcount: 8
Akdong Musician (AKMU (악동뮤지션) - 200% (Color Coded Han|Rom|Eng Lyrics) --- https://www.youtube.com/watch?v=lCbbPNrvV8o, Playcount: 0
Bruno Mars - That’s What I Like Official Video --- https://www.youtube.com/watch?v=PMivT7MJ41M, Playcount: 6
Coldplay - Hypnotised Official Lyric Video --- https://www.youtube.com/watch?v=WXmTEyq5nXc, Playcount: 7
Coldplay - Viva la Vida (Full HQ) w/ lyrics --- https://www.youtube.com/watch?v=yeWgBmCtSVM, Playcount: 0
Coldplay - Viva la Vida [HQ] --- https://www.youtube.com/watch?v=MY4eEOB1wSI, Playcount: 0
DELILAH - TOM JONES  with lyrics  --- https://www.youtube.com/watch?v=icTSPpyub4g, Playcount: 10
Don McLean - Vincent  Starry, Starry Night With Lyrics --- https://www.youtube.com/watch?v=oxHnRfhDmrk, Playcount: 9
Ed Sheeran - Castle On The Hill Official Lyric Video --- https://www.youtube.com/watch?v=7Qp5vcuMIlk, Playcount: 8
ENG SUB Secret Base - 10 Years After Ver. --- https://www.youtube.com/watch?v=ndH6UqA0QSo, Playcount: 6
Fool's Garden-Lemon Tree lyrics --- https://www.youtube.com/watch?v=sJQYoGyEtDs, Playcount: 0
