[14.122247696] 2019-11-10 15:47:50,584 - INFO - launcher: Starting sanity checks
[14.498472214] 2019-11-10 15:47:50,584 - INFO - launcher: Checking for python 3.5+
[14.725446701] 2019-11-10 15:47:50,585 - INFO - launcher: Checking console encoding
[14.950275421] 2019-11-10 15:47:50,585 - INFO - launcher: Ensuring we're in the right folder
[15.424489975] 2019-11-10 15:47:50,585 - INFO - launcher: Checks passed.
[15.666484833] 2019-11-10 15:47:50,586 - INFO - launcher: Moving old musicbot log

######################### PRE-RUN SANITY CHECKS PASSED #########################

[0.7500047683715820] 2019-11-10 15:47:51,320 - INFO - musicbot.config | In config.py::MainThread(140410628687680), line 135 in run_checks: Using i18n: config/i18n/en.json
[0.7522351741790771] 2019-11-10 15:47:51,322 - DEBUG - musicbot.json | In json.py::MainThread(140410628687680), line 8 in __init__: Init JSON obj with config/i18n/en.json
[0.7526581287384033] 2019-11-10 15:47:51,323 - DEBUG - musicbot.bot | In bot.py::MainThread(140410628687680), line 571 in _setup_logging: Set logging level to DEBUG
[0.8585956096649170] 2019-11-10 15:47:51,428 - INFO - musicbot.bot | In bot.py::MainThread(140410628687680), line 100 in __init__: Starting MusicBot 1.9.6-review
[0.8922152519226074] 2019-11-10 15:47:51,462 - INFO - musicbot.sqlfactory | In sqlfactory.py::MainThread(140410628687680), line 53 in _execute: Using adhoc execute, logging for auditing purposes
[0.9247522354125977] 2019-11-10 15:47:51,495 - INFO - musicbot.sqlfactory | In sqlfactory.py::MainThread(140410628687680), line 54 in _execute: Query: SELECT * FROM SONG WHERE 1 = %s, Params: ['1']
[0.9638350009918213] 2019-11-10 15:47:51,534 - DEBUG - musicbot.sqlfactory | In sqlfactory.py::MainThread(140410628687680), line 60 in _execute: [SQL] [EXECUTE] SELECT * FROM SONG WHERE 1 = %s
[0.9643802642822266] 2019-11-10 15:47:51,534 - DEBUG - musicbot.sqlfactory | In sqlfactory.py::MainThread(140410628687680), line 61 in _execute: [VALUES] [EXECUTE] ['1']
[1.0224511623382568] 2019-11-10 15:47:51,592 - INFO - musicbot.sqlfactory | In sqlfactory.py::MainThread(140410628687680), line 53 in _execute: Using adhoc execute, logging for auditing purposes
[1.0229732990264893] 2019-11-10 15:47:51,593 - INFO - musicbot.sqlfactory | In sqlfactory.py::MainThread(140410628687680), line 54 in _execute: Query: SELECT * FROM USER WHERE 1 = %s, Params: ['1']
[1.0410246849060059] 2019-11-10 15:47:51,611 - DEBUG - musicbot.sqlfactory | In sqlfactory.py::MainThread(140410628687680), line 60 in _execute: [SQL] [EXECUTE] SELECT * FROM USER WHERE 1 = %s
[1.0414004325866699] 2019-11-10 15:47:51,611 - DEBUG - musicbot.sqlfactory | In sqlfactory.py::MainThread(140410628687680), line 61 in _execute: [VALUES] [EXECUTE] ['1']
[1.0431590080261230] 2019-11-10 15:47:51,613 - WARNING - musicbot.bot | In bot.py::MainThread(140410628687680), line 104 in __init__: songs: 4465
[1.0442204475402832] 2019-11-10 15:47:51,614 - INFO - musicbot.bot | In bot.py::MainThread(140410628687680), line 119 in __init__: [__INIT__] Loaded autoplaylist with 4465 entries
[1.045858622] launcher-INFO: Connecting
[3.2604396343231201] 2019-11-10 15:47:53,830 - DEBUG - musicbot.bot | In bot.py::MainThread(140410628687680), line 1471 in on_ready: Connection established, ready to go.
[3.2608714103698730] 2019-11-10 15:47:53,831 - DEBUG - musicbot.bot | In bot.py::MainThread(140410628687680), line 710 in _cache_app_info: Caching app info
[3.3125805854797363] 2019-11-10 15:47:53,882 - DEBUG - musicbot.bot | In bot.py::MainThread(140410628687680), line 1297 in _scheck_ensure_env: Ensuring data folders exist
